prompts,feelings
im feeling rather rotten so im not very ambitious right now,"Discouragement, Melancholy, Apathy."
im updating my blog because i feel shitty,"Discouragement, Melancholy, Apathy."
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,"Compassion, Guilt (for the hypothetical shame), Trust"
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,"Optimism, Hopefulness, Contentment."
i was feeling a little vain when i did this one,"Pride, Contentment, Curiosity (about others' reactions)."
i cant walk into a shop anywhere where i do not feel uncomfortable,"Anxiety, Discomfort, Insecurity."
i felt anger when at the end of a telephone call,"Anger, Frustration, Resentment"
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,"Disappointment, Anxiety, Excitement."
i like to have the same breathless feeling as a reader eager to see what will happen next,"Curiosity, Anticipation, Excitement."
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,"Irritability, Fatigue, Self-deprecation"
i don t feel particularly agitated,"Serenity, Contentment, Apathy."
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,"Gratitude, Joy, Compassion "
i pay attention it deepens into a feeling of being invaded and helpless,"Anxiety, Fear, Insecurity"
i just feel extremely comfortable with the group of people that i dont even need to hide myself,"Trust, Contentment, Serenity"
i find myself in the odd position of feeling supportive of,"Empathy, Compassion, Trust"
i was feeling as heartbroken as im sure katniss was,"Sadness, Sorrow, Melancholy"
i feel a little mellow today,"Serenity, Contentment, Calm"
i feel like my only role now would be to tear your sails with my pessimism and discontent,"Pessimism, Discontent, Frustration"
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,"Anger, Resentment, Frustration"
i feel like reds and purples are just so rich and kind of perfect,"Appreciation, Joy, Contentment"
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,"Sadness, Nostalgia, Gratitude"
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,"Gratitude, Contentment, Joy"
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,"Contentment, Nostalgia, Pride"
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,"Compassion, Empathy, Hopefulness"
i don t feel guilty like i m not going to be able to cook for him,"Relief, Contentment, Serenity"
i hate it when i feel fearful for absolutely no reason,"Fear, Anxiety, Frustration"
i am feeling outraged it shows everywhere,"Anger, Indignation, Frustration"
i stole a book from one of my all time favorite authors and now i feel like a rotten person,"Guilt, Shame, Remorse"
i do feel insecure sometimes but who doesnt,"Insecurity, Anxiety, Vulnerability"
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,"Curiosity, Contentment, Optimism"
ive been missing him and feeling so restless at home thinking of him,"Loneliness, Nostalgia, Anxiety"
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,"Frustration, Discontent, Melancholy"
i start to feel emotional,"Empathy, Melancholy, Anticipation "
i feel so cold a href http irish,"Loneliness, Sadness, Melancholy"
i feel like i m defective or something for not having baby fever,"Insecurity, Sadness, Melancholy"
i feel more virtuous than when i eat veggies dipped in hummus,"Pride, Contentment, Gratitude"
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,"Gratitude, Curiosity, Pride"
i spent the last two weeks of school feeling miserable,"Sadness, Discouragement, Melancholy"
im feeling very peaceful about our wedding again now after having,"Serenity, Contentment, Optimism"
i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,"Gratitude, Trust, Contentment"
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,"Optimism, Frustration, Empowerment"
i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,"Humiliation, Compassion, Optimism"
i feel reassured that i am dealing with my diet in the right way and that all is good,"Relief, Contentment, Optimism"
i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,"Anxiety, Trust, Fear"
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,"Joy, Bliss, Excitement"
im feeling really out of place and irritated,"Anxiety, Frustration, Loneliness "
i also know that i feel nothing than a friendly affection to them too,"Love, Trust, Contentment"
i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,"Pride, Contentment, Relief"
im feeling insecure at the moment,"Insecurity, Anxiety, Fear"
i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,"Anxiety, Relief, Optimism"
i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,"Regret, Resentment, Pride"
i feel a little nervous i go to the gym,"Anxiety, Anticipation, Fear"
i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,"Determination, Optimism, Pride"
i can t stop the anxiety i feel when i m alone when i ve got no distractions,"Anxiety, Loneliness, Fear"
im trying to feel out my house style now that im living on my own and have creative carte blanche,"Curiosity, Anticipation, Optimism"
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,"Frustration, Contentment, Love"
i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,"Discouragement, Disappointment, Melancholy"
i have a good feeling about this so i am excited,"Optimism, Excitement, Hopefulness"
i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,"Realization, Gratitude, Serenity"
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,"Disgust, Remorse, Sadness"
i woke up yesterday monday morning feeling a little depressed,"Melancholy, Sadness, Discouragement"
i feel so embarrassed,"Embarrassment, Shame, Discomfort"
i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,"Loneliness, Discontent, Hopefulness"
i can honestly say that after each sistahs chat i feel invigorated and blessed,"Gratitude, Joy, Exhilaration"
i still feel stupid to be in that class this is all cause off pbss fault,"Insecurity, Embarrassment, Frustration"
i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,"Surprise, Empathy, Concern"
i admit im feeling a little bit unloved at this point,"Loneliness, Sadness, Insecurity"
i feel a bit stressed even though all the things i have going on are fun,"Stress, Anxiety, Excitement"
im feeling pretty anxious,"Anxiety, Stress, Fear"
i feel shocked and sad at the fact that there are so many sick people,"Sadness, Shock, Compassion"
i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,"Optimism, Love, Hopefulness"
i feel like a naughty school girl because i am falling behind,"Shame, Anxiety, Embarrassment"
i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,"Insecurity, Confusion, Discomfort"
i can feel that they are kind friendly and can understand my feelings,"Empathy, Connection, Gratitude"
i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,"Alienation, Sadness, Fear"
i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,"Disgust, Indignation, Anger"
i feel transcendant and splendid,"Joy, Bliss, Serenity"
i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,"Exhaustion, Relief, Fatigue"
i am feeling totally relaxed and comfy,"Contentment, Serenity, Relaxation"
i want each of you to feel my gentle embrace,"Love, Compassion, Warmth"
i feel privileged in my world,"Pride, Contentment, Privilege"
i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,"Frustration, Apathy, Disgust"
i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,"Regret, Guilt, Sadness"
i suppose i feel too trusting sometimes,"Trust, Vulnerability, Contentment"
i came home waiting for the shower read something which made me upset thats why i feel discontent haha,"Discontent, Frustration, Annoyance"
i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,"Discomfort, Irritability, Anxiety"
i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,"Love, Bliss, Joy"
i am feeling so happy,"Happiness, Contentment, Joy"
i am running at an approximate minute pace which i feel is quite acceptable,"Satisfaction, Pride, Contentment"
i feel so disappointed when my ex girlfriend doesn t call me back,"Disappointment, Sadness, Frustration"
i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,"Curiosity, Acceptance, Contentment"
i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,"Uncertainty, Anxiety, Curiosity"
i just plain feel envious of the self confidence they had,"Envy, Discontent, Frustration"
i was feeling weird the other day and it went away about minutes after i took my metformin,"Relief, Contentment, Serenity"
when a friend dropped a frog down my neck,"Surprise, Discomfort, Humor"
im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,"Anger, Compassion, Relief"
i love neglecting this blog but sometimes i feel for my faithful readers,"Affection, Gratitude, Contentment"
i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,"Hopefulness, Determination, Resilience"
i feel my heart is tortured by what i have done,"Regret, Sadness, Guilt"
i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,"Sadness, Relief, Nostalgia"
i feel needy but comfortable with it i feel vulnerable but secure i feel the urge to cum hard but i get no relief,"Vulnerability, Frustration, Insecurity"
i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,"Exhaustion, Overwhelm, Frustration"
i started out feeling discouraged this morning,"Discouragement, Sadness, Melancholy"
i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,"Agitation, Remorse, Frustration"
i grab it from the air its smooth frame feels cold to the touch,"Surprise, Curiosity, Contentment"
i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,"Anger, Disappointment, Frustration"
i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,"Loneliness, Sadness, Melancholy"
i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,"Excitement, Contentment, Optimism"
i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,"Anger, Sadness, Disappointment"
im feeling pretty disheartened by the whole thing,"Discouragement, Sadness, Melancholy"
i feel that an input from me will be valued as being less potent than say that of irfan pathan,"Insecurity, Optimism, Curiosity"
i feel is he generous,"Gratitude, Curiosity, Contentment"
i even feel a little shaky,"Anxiety, Nervousness, Insecurity"
i am feeling better though i dont sound it,"Optimism, Contentment, Relief"
i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,"Loneliness, Sadness, Nostalgia"
i feel our world then was a much more innocent place,"Nostalgia, Contentment, Serenity"
i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,"Pride, Discontent, Frustration"
im not feeling anything suspicious really,"Skepticism, Contentment, Curiosity"
i was feeling a little sentimental today,"Nostalgia, Melancholy, Sentimentality"
i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,"Curiosity, Optimism, Disappointment"
i feel less whiney since the sun came out here in the sf area,"Optimism, Contentment, Relief"
made a wonderfull new friend,"Joy, Gratitude, Serenity"
i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,"Embarrassment, Curiosity, Nostalgia"
i know its easy to feel a little envious of me and i cant tell you that you shouldnt,"Envy, Contentment, Curiosity"
i would feel awful if she was here this whole time,"Sadness, Worry, Guilt"
i feel very mislead by someone that i really really thought i knew and liked very much so,"Disappointment, Distrust, Sadness"
i feel like we are doomed us humans,"Pessimism, Fear, Sadness"
i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,"Anxiety, Anticipation, Stress"
i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,"Discomfort, Desire, Frustration"
ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,"Gloom, Melancholy, Sadness"
i feel that this information is vital to moving on with your day and you re not complete until you read it,"Curiosity, Optimism, Contentment"
im feeling generous today heres one more you may have already seen but is good for a chuckle,"Generosity, Joy, Amusement"
i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,"Awkwardness, Hesitation, Anxiety"
i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,"Discomfort, Irritation, Frustration"
i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,"Determination, Optimism, Excitement"
i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,"Fear, Anxiety, Determination"
i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,"Agitation, Anxiety, Frustration"
i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,"Shame, Guilt, Regret"
i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,"Shame, Regret, Frustration"
